StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.1,Q1.2,Q1.3,Q952,Q3.1,Q3.2,Q3.3,Q3.4,Q3.6,Q24.2,Q3.7,Q3.11,Q6,Q24.1,Q946,Q947,Q948,Q980,Q949,Q982,Q983,Q984,Q985,Q955_First Click,Q955_Last Click,Q955_Page Submit,Q955_Click Count,Q986_First Click,Q986_Last Click,Q986_Page Submit,Q986_Click Count,Q956_First Click,Q956_Last Click,Q956_Page Submit,Q956_Click Count,Q958_First Click,Q958_Last Click,Q958_Page Submit,Q958_Click Count,Q961,Q962,Q963,Q964,Q965,Q966,Q967,Q969,Q970,Q971,Q36.1,Attention,LLM,T
2025-10-09 15:54:45,2025-10-09 15:56:31,Survey Preview,,100,105,True,2025-10-09 15:56:31,R_8tr52CqXXDAv0dn,,,,,40.6651,16.6061,preview,EN,1,I consent,"'-.,òljkhgyfhgtdxzs","Somewhat unlikely,Extremely likely",No,Female,20,White,No,South East,"£30,000 - £39,999",Retired,High-school or lower,Very liberal,Reform UK,Not interested at all,Once,Yes,Politics,Social media,The Conversation,Quite a lot,Fairly familiar,No,,,,,0,0,3.293,0,,,,,,,,,No,Yes,Somewhat accurate,Not trustworthy,High,No bias/Neutral,Not entertaining,Somewhat complex,Trustworthy,òlàkljkhgfdx,òlkjhgfdx,,,CP
2025-10-09 16:00:01,2025-10-09 16:01:57,Survey Preview,,100,115,True,2025-10-09 16:01:57,R_8ai65N9YnRleRIl,,,,,40.6651,16.6061,preview,EN,1,I consent,'-òklgfds,"Somewhat unlikely,Extremely likely",No,Female,33,Black,Yes,East of England,"£60,000 - £69,999",Homemaker,High-school or lower,Liberal,Reform UK,Not interested at all,6 days a week,Yes,Politics,TV,Evening Standard,Quite a lot,Slightly familiar,No,,,,,0,0,2.883,0,,,,,,,,,No,No,Accurate,Somewhat trustworthy,Very low,Left-wing bias,Not entertaining,Somewhat complex,Not trustworthy,kljgyfdsz,òlkjhgfcxd,,,CP
2025-10-09 16:03:31,2025-10-09 16:05:26,Survey Preview,,100,114,True,2025-10-09 16:05:27,R_8g88fp5zha4enoT,,,,,40.6651,16.6061,preview,EN,1,I consent,ala3,"Somewhat unlikely,Extremely likely",No,Female,60,Carribean,Yes,West Midlands,"£30,000 - £39,999","Receiving benefits or insurance (e.g., disability allowance)",University or higher,Very liberal,Reform UK,Somewhat interested,6 days a week,No,,None of the above,The Observer,Completely,Fairly familiar,Yes,,,,,0,0,5.474,0,,,,,,,,,Yes,No,Somewhat accurate,Trustworthy,Medium,Left-wing bias,Somewhat entertaining,Somewhat complex,Somewhat trustworthy,òlkjhgfdsz,àòlkjhgfdxcz,,,CP
2025-10-09 16:06:49,2025-10-09 16:07:59,Survey Preview,,100,69,True,2025-10-09 16:07:59,R_8oHKdiE9lhfraho,,,,,40.6651,16.6061,preview,EN,1,I consent,lkjhgfdxsz,"Somewhat unlikely,Extremely likely",No,Female,60,White,Yes,West Midlands,"£50,000 - £59,999",Unemployed and not looking for job,High-school or lower,Liberal,Reform UK,Not interested,Every day,Yes,General news,Social media,The Guardian,Not at all,Fairly familiar,Not sure,,,,,0,0,2.884,0,,,,,,,,,No,No,Somewhat accurate,Very trustworthy,Medium,Left-wing bias,Somewhat entertaining,Complex,Not trustworthy,kljhyfgtdresa,ljkhfgtdsa,,,CP
2025-10-13 15:20:50,2025-10-13 15:22:56,Survey Preview,,100,126,True,2025-10-13 15:22:56,R_26alvUc3v30ZTNq,,,,,41.4076,2.1709,preview,EN,0.8999999761581421,I consent,dsdsdsdsds,"Somewhat unlikely,Extremely likely",No,Female,33,Asian or Middle Eastern,Yes,London,"£30,000 - £39,999",Unemployed looking for job,High-school or lower,Neither liberal nor conservative,Liberal Democrats,Not interested,Every day,Yes,"Economics and social affairs,Art, music, and cinema","Social media,Newspapers","The Times/The Sunday Times,The Sun",Somewhat,Fairly familiar,No,,,,,,,,,,,,,0,0,5.03,0,Yes,No,Accurate,Trustworthy,Medium,No bias/Neutral,Not entertaining,Complex,Trustworthy,vhvvh,vvhvh,,,LAI
2025-10-13 15:23:22,2025-10-13 15:25:23,Survey Preview,,100,120,True,2025-10-13 15:25:23,R_2IsfEzuBhJgsS7z,,,,,41.4076,2.1709,preview,EN,0.8999999761581421,I consent,vvhvhvhvh,"Somewhat unlikely,Extremely likely",No,Other,55,Carribean,Yes,South East,"£40,000 - £49,999",Retired,University or higher,Neither liberal nor conservative,Other,Somewhat interested,6 days a week,No,,"Online news websites,Newspapers","The Daily Telegraph,Sunday Mail,The Observer",Somewhat,Somewhat familiar,Yes,,,,,,,,,0,0,7.876,0,,,,,Yes,Yes,Not accurate,Somewhat trustworthy,Medium,Left-wing bias,Entertaining,Complex,Not trustworthy,vgvgvh,poopoiiugvhmk,,,UAI
2025-10-13 15:25:30,2025-10-13 15:29:29,Survey Preview,,100,238,True,2025-10-13 15:29:30,R_2dXOWaSqnmZdt21,,,,,41.4076,2.1709,preview,EN,0.8999999761581421,I consent,hiihihhi,"Somewhat unlikely,Extremely likely",No,Other,55,Carribean,Yes,East of England,"£30,000 - £39,999",Unemployed looking for job,University or higher,Conservative,Liberal Democrats,Somewhat interested,6 days a week,No,,"Online news websites,TV","The Conversation,Metro",Somewhat,Somewhat familiar,No,0,0,5.431,0,,,,,,,,,,,,,No,Yes,Not accurate,Trustworthy,Medium,No bias/Neutral,Somewhat entertaining,Complex,Very trustworthy,gcgchgchg,gcghchg,,,C
2025-10-14 11:37:58,2025-10-14 11:42:29,IP Address,81.155.21.44,100,270,True,2025-10-14 11:42:30,R_2WZH0O7z1yZvYjZ,,,,,51.6158,-1.2368,anonymous,EN,1,I consent,66d31a1b0515fe747830bab9,"Somewhat unlikely,Extremely likely",No,Male,61,White,Yes,South East,"£80,000 - £89,999",Employed full time,High-school or lower,Conservative,Reform UK,Interested,Every day,No,,"Online news websites,TV","Daily Mail,BBC News",Quite a lot,Somewhat familiar,Not sure,,,,,0,0,33.665,0,,,,,,,,,No,Yes,Somewhat accurate,Somewhat trustworthy,High,No bias/Neutral,Somewhat entertaining,Not complex,Somewhat trustworthy,trusting news sources,did not view it,,,CP
2025-10-14 11:38:24,2025-10-14 11:42:31,IP Address,2.126.143.222,100,247,True,2025-10-14 11:42:32,R_2pxMT3SlbsaTWtC,,,,,51.6258,-0.7478,anonymous,EN,0.699999988079071,I consent,60420bb25042bc00088c5376,"Somewhat unlikely,Extremely likely",No,Female,36,White,Yes,South East,"£50,000 - £59,999",Employed full time,University or higher,Liberal,Labour,Interested,2-3 times per week,Yes,"General news,Politics,Art, music, and cinema","Online news websites,Social media,TV,Newspapers","The Guardian,The Times/The Sunday Times,The Observer,BBC News",Quite a lot,Fairly familiar,No,,,,,,,,,,,,,0,0,70.647,0,Yes,No,Accurate,Trustworthy,High,Left-wing bias,Entertaining,Complex,Trustworthy,Not sure,"I found the content interesting, informative, and it seemed to be reliable and accurate.",,,LAI
2025-10-14 11:36:37,2025-10-14 11:42:41,IP Address,148.252.148.156,100,364,True,2025-10-14 11:42:42,R_2OrANbulTNHGG7Q,,,,,51.6258,-0.7478,anonymous,EN,1,I consent,5aad8499e1546900019aef29,"Somewhat unlikely,Extremely likely",No,Male,25,White,Yes,South East,"£50,000 - £59,999",Employed full time,High-school or lower,Neither liberal nor conservative,Conservatives,Somewhat interested,2-3 times per week,No,,"Television,Online news websites,Social media,TV",,Somewhat,Somewhat familiar,Not sure,,,,,,,,,,,,,0,0,110.772,0,Yes,No,Accurate,Trustworthy,High,No bias/Neutral,Somewhat entertaining,Somewhat complex,Trustworthy,News articles,It's nice to know what's going on in the world and that was an interesting read so it could be good seeing more like it.,,,LAI
2025-10-14 11:39:41,2025-10-14 11:43:06,IP Address,86.129.226.40,100,205,True,2025-10-14 11:43:07,R_2oFU20Wh8dPOVT6,,,,,51.5189,-0.0922,anonymous,EN,1,I consent,5dbf5fe16849043f135aa2c0,"Somewhat unlikely,Extremely likely",No,Male,37,White,No,London,"More than £100,000",Employed full time,University or higher,Very liberal,Green Party,Interested,Every day,Yes,"General news,Art, music, and cinema",Online news websites,"The Guardian,Financial Times,BBC News",Somewhat,Fairly familiar,No,,,,,,,,,,,,,0,0,36.821,0,No,No,Accurate,Trustworthy,Medium,No bias/Neutral,Somewhat entertaining,Not complex,Trustworthy,The degree of trustworthiness in content that may or may not be AI generated,"I think it was okay but a bit dry. I don't see how this is better than any other news source, so I wouldn't subscribe to it. ",,,LAI
2025-10-14 11:38:05,2025-10-14 11:43:24,IP Address,86.175.98.146,100,318,True,2025-10-14 11:43:24,R_8X5kmOPOefrLqfs,,,,,53.5477,-2.1259,anonymous,EN,1,I consent,5dc55126dd2b773d2aec4ced,"Somewhat unlikely,Extremely likely",No,Female,31,Asian or Middle Eastern,Yes,North West,"£10,000 - £19,999",Homemaker,High-school or lower,Liberal,Other,Somewhat interested,2-3 times per week,No,,"Online news websites,Social media","The Guardian,The Times/The Sunday Times",A little,Somewhat familiar,Not sure,18.901,37.977,45.648,3,,,,,,,,,,,,,No,Yes,Not accurate,Not trustworthy,Medium,Very left-wing bias,Somewhat entertaining,Not complex,Not trustworthy,"Journalism and ai ","Don’t know much about the conversation therefore would not want to read newsletter ",,,C
2025-10-14 11:37:52,2025-10-14 11:43:37,IP Address,82.6.142.198,100,345,True,2025-10-14 11:43:38,R_8QmUEKnpKq0dmEN,,,,,51.7283,-1.2406,anonymous,EN,0.30000001192092896,I consent,6346f314592ee4d8c3d84e57,"Somewhat unlikely,Extremely likely",No,Male,44,White,Yes,South East,"£30,000 - £39,999",Employed full time,University or higher,Very liberal,Green Party,Interested,6 days a week,No,,"Television,Online news websites,TV",,Somewhat,Fairly familiar,Yes,0,0,71.493,0,,,,,,,,,,,,,No,No,Somewhat accurate,Somewhat trustworthy,Low,No bias/Neutral,Somewhat entertaining,Not complex,Somewhat trustworthy,"Really don't know, obviously about consuming AI generated news, but spelling researchers wrong isn't ideal in a question asking whether the researchers are trustworthy or not. ",I don't want to receive news in this way. I have my own ways of looking for and consuming news. I have no idea where this news is coming from,,,C
2025-10-14 11:37:36,2025-10-14 11:44:01,IP Address,82.32.124.37,100,385,True,2025-10-14 11:44:02,R_8i3rDjRgrr4yP30,,,,,52.503,-2.0839,anonymous,EN,1,I consent,604ceec4b2028fd4ddbbd1d4,"Somewhat unlikely,Extremely likely",No,Female,40,White,Yes,West Midlands,"£50,000 - £59,999",Employed part time,University or higher,Liberal,Labour,Somewhat interested,2-3 times per week,No,,Online news websites,BBC News,Somewhat,Slightly familiar,Yes,,,,,4.832,101.678,102.279,29,,,,,,,,,No,No,Somewhat accurate,Trustworthy,High,No bias/Neutral,Somewhat entertaining,Somewhat complex,Trustworthy,"Ai ",It seems informative and is well  researched. It did not seem written by AI but not sure i would be sble to tell the difference.,,,CP
2025-10-14 11:37:44,2025-10-14 11:44:03,IP Address,81.156.142.138,100,379,True,2025-10-14 11:44:04,R_2eqKAQ2SJfrEtLu,,,,,52.9538,-1.1571,anonymous,EN,1,I consent,66857736fbedff5ddc2aa584,"Somewhat unlikely,Extremely likely",No,Female,49,White,Yes,East Midlands,"£70,000 - £79,999",Employed part time,University or higher,Neither liberal nor conservative,Green Party,Interested,Every day,Yes,"Politics,Art, music, and cinema,Science","Online news websites,Newspapers","The Guardian,BBC News",Somewhat,Fairly familiar,Not sure,,,,,,,,,0,0,56.28,0,,,,,No,No,Somewhat accurate,Somewhat trustworthy,High,No bias/Neutral,Not entertaining,Somewhat complex,Somewhat trustworthy,AI content and how it impacts perception of whether we can trust any information presented as news,"I'm trying to reduce the amount of news that I consume. I don't believe the constant bombardment of every bad thing that is happening in the world is good for mental health. ",,,UAI
2025-10-14 11:37:37,2025-10-14 11:44:07,IP Address,136.228.244.32,100,389,True,2025-10-14 11:44:07,R_8uWkVJHqUChXAu4,,,,,53.4809,-2.2374,anonymous,EN,1,I consent,60578c6bcf9ae41762bd8adb,"Somewhat unlikely,Extremely likely",No,Male,40,White,Yes,North East,"£50,000 - £59,999",Employed full time,High-school or lower,Conservative,Reform UK,Very interested,Every day,No,,"Television,Online news websites,Social media,TV,Newspapers","The Times/The Sunday Times,The Sun,The Daily Mirror,Sunday Mail,Metro,BBC News",Somewhat,Slightly familiar,Yes,,,,,,,,,0,0,73.483,0,,,,,No,No,Accurate,Trustworthy,Medium,Left-wing bias,Entertaining,Not complex,Trustworthy,perception of media generated by AI,"I feel a lot of media is AI generated by I believe this article to be true and I have seen other courses who confirm that ICE have been detaining supposed illegal immigrants at an alarming rate. I always cross reference news now to make sure that what I am reading is correct. ",,,UAI
2025-10-14 11:39:44,2025-10-14 11:44:34,IP Address,86.171.18.210,100,289,True,2025-10-14 11:44:34,R_2KrkpD5WtzcSbqF,,,,,50.3881,-4.1324,anonymous,EN,0.699999988079071,I consent,6034da6b08183eee8cc990ea,"Somewhat unlikely,Extremely likely",No,Female,60,White,Yes,South West,"Less than £10,000",Homemaker,High-school or lower,Neither liberal nor conservative,Prefer not to say,Somewhat interested,2-3 times per week,No,,"Television,Online news websites",,Somewhat,Not at all familiar,Not sure,,,,,0,0,76.862,0,,,,,,,,,No,No,Not accurate,Not trustworthy,Low,No bias/Neutral,Not entertaining,Not complex,Not trustworthy,How easy to make people believe inaccurate news items.,Didn't read it.,,,CP
2025-10-14 11:38:36,2025-10-14 11:44:38,IP Address,90.197.238.154,100,361,True,2025-10-14 11:44:38,R_2HsrOHkrAGD8Whr,,,,,51.575,0.4173,anonymous,EN,1,I consent,5cc052c9a1e263001715594d,"Somewhat unlikely,Extremely likely",No,Female,57,White,Yes,South East,"£70,000 - £79,999",Employed full time,University or higher,Neither liberal nor conservative,Liberal Democrats,Interested,4-5 times per week,Yes,Politics,"Television,Online news websites","The Sun,The Daily Mirror,Daily Mail",Quite a lot,Very familiar,Yes,0,0,28.758,0,,,,,,,,,,,,,No,Yes,Not accurate at all,Not trustworthy at all,Low,Left-wing bias,Not entertaining,Not complex,Not trustworthy,fake news,"I didn't respond well to the article presented, so I had no interest in receiving the newsletter. I found the article to be biased, low quality and most likely, ai AI-generated.",,,C
