StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID103,QID102,QID105,QID1_1,QID2,QID295,QID8,Q312,QID293,QID304,QID296,Q313_1,QID308_1,QID309_1,QID310_1,QID311_1,QID297,QID299,QID301_1,QID303_1,QID305,Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID,SESSION_ID,STUDY_ID,Attention
2026-04-09 05:07:59,2026-04-09 05:11:06,IP Address,217.43.71.4,100,187,True,2026-04-09 05:11:07,R_8kxOO6zX4yFjSDf,,,,,53.4495,-2.3432,anonymous,EN-GB,1,I agree to participate in this study!,69c2b99c139477024421c669,"Somewhat unlikely,Extremely likely",1998,Female,United Kingdom,Working part time now,Yes,Freelance,Between 3 years and 5 years,Reporter,50,70,35,30,20,Strongly agree,Strongly agree,30,70,"I think they are using AI for spelling and grammar checks mostly, but also maybe to improve their own copy, like when they are looking for synonyms or how to word things differently. ",complete,,69c2b99c139477024421c669,69d7888a8789d6c041ae41eb,69a1c569e7793dacfe90e35b,
2026-04-09 05:09:21,2026-04-09 05:13:31,IP Address,92.56.2.210,100,249,True,2026-04-09 05:13:31,R_2eWItIa3MnlA8hW,,,,,41.3891,2.1606,anonymous,EN-GB,1,I agree to participate in this study!,695ac7b9330794da687e988d,"Somewhat unlikely,Extremely likely",1986,Male,Spain,Working full time now,Yes,Freelance,More than 5 years,Reporter,78,10,10,25,18,Strongly agree,Somewhat disagree,34,34,"To start the writing of the article. Or to look for proposals to improve the articles. ",complete,,695ac7b9330794da687e988d,69d788da111ee04cad8805c2,69a1c569e7793dacfe90e35b,
2026-04-09 05:02:10,2026-04-09 05:13:31,IP Address,102.141.95.167,100,681,True,2026-04-09 05:13:32,R_8ur3UE57u89dXAp,,,,,-23.8287,30.1672,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,611d053c9740de847b501a5b,"Somewhat unlikely,Extremely likely",1999,Female,South Africa,Working full time now,Yes,Daily Newspaper,Between 1 year and 3 years,Reporter,35,26,44,10,37,Somewhat agree,Somewhat disagree,56,40,"Journalist are using AI in their articles because is simple and easy to get the work done 
They use it for clean report most of them and avoid errors or misconducts in their stories
Some they use AI just to get real audiences",complete,,611d053c9740de847b501a5b,69d78727f8dfc27c6d9a8d91,69a1c569e7793dacfe90e35b,
2026-04-09 05:09:59,2026-04-09 05:14:28,IP Address,62.121.132.210,100,269,True,2026-04-09 05:14:28,R_8mujnfOcpwqRHjj,,,,,50.0765,19.9374,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,669f349c50e94fd78b7c3b66,"Somewhat unlikely,Extremely likely",1998,Female,Poland,Working part time now,Yes,Freelance,More than 5 years,Editor,91,30,2,5,0,Strongly agree,Strongly agree,41,71,"I think that most of the journalists are using AI at least fot simoke jobs like editing. Some of them, like for the gossip pages, are probably using AI for writing articles too. I think that the use of AI for editing is ok, but for writing not. ",complete,,669f349c50e94fd78b7c3b66,69d788ff39c11865251c194a,69a1c569e7793dacfe90e35b,
2026-04-09 05:01:25,2026-04-09 05:15:28,IP Address,41.116.122.125,100,843,True,2026-04-09 05:15:29,R_8sOTQRed8sK4jTP,,,,,-26.2309,28.0583,anonymous,EN-GB,0.800000011920929,I agree to participate in this study!,654d31b46a34e03d25cdf3c7,"Somewhat unlikely,Extremely likely",2000,Female,South Africa,Working full time now,Yes,Weekly Newspaper,Between 1 year and 3 years,Reporter,40,16,20,21,20,Strongly agree,Strongly agree,90,40,"Journalists are using AI to reduce the time consumption it takes to research, gather and present their work as they have tight deadlines to meet. I think it also assists them in analyzing that is complex to break it down for them. Additionally, they use AI to help them with writing their drafts which they will use to write their final pieces . ",complete,,654d31b46a34e03d25cdf3c7,69d7870172c57b917c122e63,69a1c569e7793dacfe90e35b,
2026-04-09 05:12:10,2026-04-09 05:16:03,IP Address,147.161.167.114,100,233,True,2026-04-09 05:16:04,R_2KV1mR2H6lQFjbY,,,,,51.5081,-0.1278,anonymous,EN-GB,1,I agree to participate in this study!,5c93dda34dd71f0015c83f1f,"Somewhat unlikely,Extremely likely",1995,Female,United Kingdom,Working full time now,Yes,TV,Between 3 years and 5 years,Reporter,49,60,30,50,20,Strongly agree,Strongly disagree,90,60,"People are using AI to make processes more efficient. For example using AI to generate image descriptions and to help formulate plans for their journalism. I dont think it's being used to create content completely but as a tool for brainstorming, planning and checking content",complete,,5c93dda34dd71f0015c83f1f,69d7896a7231c70edbfa235c,69a1c569e7793dacfe90e35b,
2026-04-09 05:07:13,2026-04-09 05:16:20,IP Address,38.210.99.129,100,547,True,2026-04-09 05:16:21,R_5j6WJGSZbFWKu8c,,,,,-22.9072,-43.1883,anonymous,EN-GB,0.699999988079071,I agree to participate in this study!,6981ed24429dcf447bf146b3,"Somewhat unlikely,Extremely likely",1983,Male,Brazil,Working full time now,Yes,Online Newspaper,More than 5 years,Reporter,40,40,20,30,30,Strongly agree,Strongly agree,70,80,"I believe there are two main reasons for this: the need to publish quickly, due to the nature of online audiences; and the desire to ‘write better’, particularly among younger journalists",complete,,6981ed24429dcf447bf146b3,69d7884873e81a9378bf536e,69a1c569e7793dacfe90e35b,
2026-04-09 05:07:28,2026-04-09 05:16:52,IP Address,41.13.20.211,100,564,True,2026-04-09 05:16:52,R_8OPWxPCI6G2g1pZ,,,,,-26.2309,28.0583,anonymous,EN-GB,1,I agree to participate in this study!,673231ca547cd8ac8dfbffd6,"Somewhat unlikely,Extremely likely",2002,Female,South Africa,Working full time now,"No, but I have in the past",Freelance,Less than 1 year,Editor,30,70,36,65,39,Somewhat agree,Somewhat disagree,52,31,"I think journalists use ai to make their articles more intriguing. They make their articles to seem more in depth and interesting. It makes one think that the article was written in more clear sense whilst it's not ",complete,,673231ca547cd8ac8dfbffd6,69d787e6f0bca2525478995a,69a1c569e7793dacfe90e35b,
2026-04-09 05:23:08,2026-04-09 05:23:23,IP Address,2.97.19.255,100,14,True,2026-04-09 05:23:24,R_8rxsABnrSLC0ALv,,,,,51.5876,0.6048,anonymous,EN-GB,1,I agree to participate in this study!,607ea4caa8927b9ec56da4dd,"Extremely unlikely,Somewhat unlikely",,,,,,,,,,,,,,,,,,,complete,,607ea4caa8927b9ec56da4dd,69d78c147b89c216df7f4cc8,69a1c569e7793dacfe90e35b,0
2026-04-09 05:21:22,2026-04-09 05:26:35,IP Address,105.29.172.12,100,312,True,2026-04-09 05:26:35,R_2rOifyr6mwgIlw4,,,,,-1.2841,36.8155,anonymous,EN-GB,0.5,I agree to participate in this study!,69831c407f70c0435654a686,"Somewhat unlikely,Extremely likely",1996,Female,Kenya,Working full time now,Yes,TV,Between 1 year and 3 years,Editor,70,61,36,61,36,Strongly agree,Neither agree nor disagree,81,81,"Journalists are using AI in their articles mainly to save time and improve efficiency, especially when handling large amounts of data or breaking news. AI can help with tasks like summarizing information, generating drafts, and fact-checking, allowing reporters to focus more on analysis and storytelling. It also enables newsrooms to produce content faster and keep up with the high demand for constant updates. However, human oversight is still important to ensure accuracy, credibility, and ethical reporting.",complete,,69831c407f70c0435654a686,69d78ba3cc2c6d70378ecb70,69a1c569e7793dacfe90e35b,
2026-04-09 05:42:50,2026-04-09 05:45:04,IP Address,113.144.194.236,100,134,True,2026-04-09 05:45:05,R_4nMdduCiwuisRXl,,,,,35.6689,140.0251,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,69a6b163a865a52c9d66b80f,Extremely likely,,,,,,,,,,,,,,,,,,,complete,,69a6b163a865a52c9d66b80f,69d790ad60d8052ff39763f4,69a1c569e7793dacfe90e35b,0
2026-04-09 05:49:06,2026-04-09 06:01:31,IP Address,78.128.191.240,100,745,True,2026-04-09 06:01:32,R_8azt6rcWHW5MF4G,,,,,50.0766,14.4464,anonymous,EN-GB,0.6000000238418579,I agree to participate in this study!,61274527ec23eb86f8355013,"Somewhat unlikely,Extremely likely",1999,Female,Czech Republic,Working full time now,"No, but I have in the past",Online Newspaper,Between 1 year and 3 years,Reporter,65,15,7,10,3,Strongly agree,Strongly agree,90,80,"It's faster. There's a high demand and pressure on journalists to publish as much as they can as quickly as they can. That's text-wise. Image-wise, I think AI generated pictures can be beneficial when it's just a complimentary picture/stock image/illustration image. That's where using AI generated images could potentially save money on stock images from big image banks. But if the picture is supposed to support a claim in the article, show evidence or be in any way useful, I believe it definitely shouldn't be generated by AI.",complete,,61274527ec23eb86f8355013,69d7922cedfa836d0dc00b31,69a1c569e7793dacfe90e35b,
2026-04-09 06:02:22,2026-04-09 06:03:53,IP Address,155.190.45.9,100,90,True,2026-04-09 06:03:53,R_8OwxoSG2QWgnpEA,,,,,-33.9258,18.4259,anonymous,EN-GB,,I agree to participate in this study!,67467406ddfe9734005c5d7b673,"Extremely unlikely,Somewhat unlikely",,,,,,,,,,,,,,,,,,,error,timeout,67406ddfe9734005c5d7b673,69d79522811799263dedbdd5,69a1c569e7793dacfe90e35b,0
2026-04-09 05:59:28,2026-04-09 06:05:50,IP Address,114.77.179.40,100,381,True,2026-04-09 06:05:50,R_4j1bbAp0qc7uRxv,,,,,-33.1622,151.5816,anonymous,EN-GB,1,I agree to participate in this study!,5d2fea93e50c2f0017161771,"Somewhat unlikely,Extremely likely",1986,Male,Australia,Working full time now,Yes,Daily Newspaper,More than 5 years,Reporter,24,35,42,62,62,Strongly agree,Somewhat agree,84,12,As a sense check or a way to make sense of data and figures that seem somewhat confusing,complete,,5d2fea93e50c2f0017161771,69d79489fcd955e4c80d74ca,69a1c569e7793dacfe90e35b,
2026-04-09 06:13:33,2026-04-09 06:20:12,IP Address,70.72.228.166,100,399,True,2026-04-09 06:20:13,R_5zHrJhV2LCeEwil,,,,,50.9804,-114.1015,anonymous,EN-GB,1,I agree to participate in this study!,69aaf2a0d6562246442ee009,"Somewhat unlikely,Extremely likely",1993,Male,Canada,Working full time now,"No, but I have in the past",Daily Newspaper,Between 1 year and 3 years,Reporter,76,35,35,22,26,Neither agree nor disagree,Strongly disagree,21,85,"I think journalists use AI mainly because it helps them work faster, especially when they’re under pressure to publish quickly. It can help with things like summarizing information, organizing ideas, or even drafting parts of an article, which saves time. It also makes it easier to keep up with the constant demand for news updates. That said, they still need to review everything carefully to make sure it’s accurate and makes sense.
",complete,,69aaf2a0d6562246442ee009,69d797d27db35700065f7a2e,69a1c569e7793dacfe90e35b,
2026-04-09 06:26:51,2026-04-09 06:37:40,IP Address,77.100.182.23,100,648,True,2026-04-09 06:37:40,R_25Rh1MPyFATNbkw,,,,,53.8119,-3.0226,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,67dbcbbe6b855767f1b113cc,"Somewhat unlikely,Extremely likely",1974,Male,United Kingdom,Working full time now,Yes,Online Newspaper,More than 5 years,Editor,50,25,5,15,7,Strongly agree,Strongly disagree,51,80,"At the present time, it is rife in the industry, but I think it is just curiosity surrounding new tech. It will wear off and plateau eventually. It really depends on the publication, the type of AI being used, and the individual. It's one thing to use something like Grammarly to help with spelling when drafting something up, but entirely different to throw a load of half-baked prompts into Claude and expect to get away with producing something original and readable. Good journos will eventually realise this and maybe use AI as a writing partner (for research) rather than a way to do the job for them.",complete,,67dbcbbe6b855767f1b113cc,69d79b0411d4a0a83a928526,69a1c569e7793dacfe90e35b,
2026-04-09 06:33:11,2026-04-09 06:38:09,IP Address,87.110.211.5,100,298,True,2026-04-09 06:38:10,R_2S2ZBuX2hL9lBio,,,,,57,25,anonymous,EN-GB,0.6000000238418579,I agree to participate in this study!,61092e5621c9bede90eb43b1,"Somewhat unlikely,Extremely likely",1999,Female,Latvia,Working full time now,Yes,Online Newspaper,Between 3 years and 5 years,Reporter,61,10,20,10,9,Somewhat disagree,Strongly agree,40,50,AI can or might generate more creative ideas than sometimes journalist could and that is an easier path to got for journalist if he or she does not want or is too lazy to brainstorm till reaching the best idea for something. It is just a shortcut sometimes and I can see why journalists (who are more than less overworked) would use AI.,complete,,61092e5621c9bede90eb43b1,69d79c855f782498150160b8,69a1c569e7793dacfe90e35b,
2026-04-09 06:31:29,2026-04-09 06:40:06,IP Address,102.204.196.73,100,516,True,2026-04-09 06:40:07,R_2OTls9OTCtpbi4t,,,,,-1.2841,36.8155,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,6982dd5ba4c9d3d6cda4a29e,"Somewhat unlikely,Extremely likely",1997,Male,Kenya,Working full time now,Yes,Freelance,More than 5 years,Editor,0,35,45,20,90,Strongly agree,Strongly disagree,70,100,"I believe journalists are increasingly turning to AI because it acts as a high-speed research assistant, capable of scanning massive datasets or long reports to find ""the needle in the haystack"" in seconds. It also helps newsrooms maintain a constant presence by automating routine tasks, like generating basic weather updates or sports scores, which frees up human reporters for more investigative, boots-on-the-ground work. Additionally, in a digital-first world, AI tools allow journalists to quickly adapt their stories for different platforms, whether that’s summarizing a long-form piece for a social media post or translating it for a global audience.",complete,,6982dd5ba4c9d3d6cda4a29e,69d79c144d814d32b7438641,69a1c569e7793dacfe90e35b,
2026-04-09 06:46:06,2026-04-09 06:50:44,IP Address,146.155.157.156,100,277,True,2026-04-09 06:50:45,R_1hG66UqgiG6TzPv,,,,,-33.4521,-70.6536,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,5ee7c295106d18087cd2a06f,"Somewhat unlikely,Extremely likely",1997,Female,Chile,Working full time now,Yes,Online Newspaper,Between 3 years and 5 years,Editor,100,51,10,10,1,Strongly agree,Somewhat disagree,50,50,"Because it saves a lot of time, corrects potential errors, and is easier to explain when you have a complex idea.",complete,,5ee7c295106d18087cd2a06f,69d79f820fa1e02e2eac1031,69a1c569e7793dacfe90e35b,
2026-04-09 06:46:35,2026-04-09 06:51:35,IP Address,181.163.18.170,100,300,True,2026-04-09 06:51:36,R_71HewMJ9J9NmTy7,,,,,-34.5761,-70.9848,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,698a7ea777be98cdc76d8284,"Somewhat unlikely,Extremely likely",1991,Male,Chile,Working full time now,Yes,Freelance,More than 5 years,Editor,80,21,10,20,10,Somewhat agree,Somewhat disagree,70,55,"The use of AI is not so much about content, but about respecting formats indicated by the editorial line of the media outlet.
",complete,,698a7ea777be98cdc76d8284,69d79fa986934c06fb1d822e,69a1c569e7793dacfe90e35b,
2026-04-09 06:48:53,2026-04-09 06:53:36,IP Address,102.254.39.14,100,283,True,2026-04-09 06:53:37,R_8WFdrO38Qjnus49,,,,,-26.2309,28.0583,anonymous,EN-GB,1,I agree to participate in this study!,6171946a19f6673fb215c0c7,"Somewhat unlikely,Extremely likely",2000,Female,South Africa,Working full time now,Yes,Online Newspaper,Less than 1 year,Editor,38,35,19,20,11,Strongly agree,Neither agree nor disagree,70,73,"If you have seen articles nowhere they all have the same feel when reading, the format, structure and wording as well as the placement of the wording they sound similar ",complete,,6171946a19f6673fb215c0c7,69d7a02d51ea4fb09d2cf76a,69a1c569e7793dacfe90e35b,
2026-04-09 06:54:02,2026-04-09 06:54:42,IP Address,86.127.230.196,100,40,True,2026-04-09 06:54:43,R_802wS3UrWzwYDyA,,,,,40.4172,-3.684,anonymous,EN-GB,0.800000011920929,I agree to participate in this study!,66c20ee91dd11c25daf1d1e0,"Somewhat likely,Extremely likely",,,,,,,,,,,,,,,,,,,complete,,66c20ee91dd11c25daf1d1e0,69d7a162fd40dbaf4b536b66,69a1c569e7793dacfe90e35b,0
2026-04-09 07:00:17,2026-04-09 07:12:34,IP Address,125.235.175.252,100,737,True,2026-04-09 07:12:35,R_9i59tr86X6Zvoxa,,,,,10.822,106.6257,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,68c152e7453db24e9294228b,"Somewhat unlikely,Extremely likely",1990,Male,Vietnam,Working full time now,Yes,TV,More than 5 years,Reporter,100,62,23,72,52,Somewhat agree,Neither agree nor disagree,79,79,"Using AI helps me find information faster, consult various news sources, identify new topics to explore, and refine my writing style

",complete,,68c152e7453db24e9294228b,69d7a2d0688ac9c638219062,69a1c569e7793dacfe90e35b,
2026-04-09 07:08:09,2026-04-09 07:14:50,IP Address,187.173.226.123,100,401,True,2026-04-09 07:14:51,R_6Ec2GnfUWZy1hAH,,,,,19.6648,-101.2796,anonymous,EN-GB,0.800000011920929,I agree to participate in this study!,5ef2aa5c7700a611f5f47de8,"Somewhat unlikely,Extremely likely",1984,Male,Mexico,Working full time now,Yes,Online Newspaper,More than 5 years,Editor,39,60,30,20,40,Strongly agree,Strongly disagree,81,86,"AI has come to facilitate journalistic work, and in an environment where a very high workload is constantly demanded, AI is a tool that allows journalists to meet their bosses' demands. In other words, bosses have brought it about through labor exploitation.",complete,,5ef2aa5c7700a611f5f47de8,69d7a4b4ae3a8f26f2fd66c4,69a1c569e7793dacfe90e35b,
2026-04-09 07:17:10,2026-04-09 07:22:39,IP Address,97.83.86.59,100,328,True,2026-04-09 07:22:40,R_1YXvj0Y7VdFf7f8,,,,,45.3733,-84.9553,anonymous,EN-GB,1,I agree to participate in this study!,66e74ca113f609cd2a13df59,"Somewhat unlikely,Extremely likely",1975,Male,United States of America,Working full time now,Yes,Daily Newspaper,More than 5 years,Editor,65,25,15,18,13,Strongly agree,Somewhat disagree,94,66,"Journalists are likely using AI as a tool to enhance headlines for search engine optimization purposes. They perhaps use AI to  help assemble short, routine items (event announcements, etc.) in order to save time. In any case, AI use needs to be transparent and undergo quality checks/edits by humans.",complete,,66e74ca113f609cd2a13df59,69d7a6959587fa880512469c,69a1c569e7793dacfe90e35b,
2026-04-09 07:17:25,2026-04-09 07:24:33,IP Address,104.157.61.100,100,427,True,2026-04-09 07:24:33,R_3GZfTMEIfFoBTjZ,,,,,53.2135,-114.9851,anonymous,EN-GB,1,I agree to participate in this study!,5ab96e3f7ccedb0001b7d9fe,"Somewhat unlikely,Extremely likely",1962,Male,Canada,Working full time now,Yes,Weekly Newspaper,More than 5 years,Editor,20,35,20,30,25,Strongly agree,Strongly agree,90,25,"It’s an easy short cut if deadlines are tight. It’s a quick way to frame out a story for a later rewrite. However I still don’t think it’s as common as some people suspect. ",complete,,5ab96e3f7ccedb0001b7d9fe,69d7a6dad5e7c7ed3c0fed75,69a1c569e7793dacfe90e35b,
2026-04-09 07:42:45,2026-04-09 07:48:08,IP Address,67.182.153.98,100,322,True,2026-04-09 07:48:09,R_7YA8RDnxfQ8aVUJ,,,,,47.1445,-122.2548,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,66293c82ce99d96957f16143,"Somewhat unlikely,Extremely likely",1971,Male,United States of America,Working full time now,Yes,Freelance,Between 3 years and 5 years,Reporter,57,58,49,63,44,Strongly agree,Strongly agree,79,67,"Journalists are using AI because it helps them work faster, especially when dealing with tight deadlines and large amounts of information. It can assist with drafting, summarizing interviews, and organizing research, which frees up time for deeper reporting and analysis. At the same time, AI can help newsrooms cut costs and keep up with the constant demand for content across multiple platforms. That said, most journalists still rely on their own judgment and voice to shape the final story, using AI as a tool rather than a replacement.",complete,,66293c82ce99d96957f16143,69d7accacb373acd5048cf0f,69a1c569e7793dacfe90e35b,
